ImageIndex,Accuracy
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,0.947368
20,0.9
21,0.904762
22,0.863636
23,0.869565
24,0.875
25,0.88
26,0.884615
27,0.851852
28,0.857143
29,0.862069
30,0.866667
31,0.83871
32,0.84375
33,0.848485
34,0.823529
35,0.828571
36,0.833333
37,0.837838
38,0.842105
39,0.846154
40,0.825
41,0.829268
42,0.833333
43,0.837209
44,0.818182
45,0.822222
46,0.826087
47,0.829787
48,0.833333
49,0.836735
50,0.84
51,0.843137
52,0.846154
53,0.849057
54,0.833333
55,0.818182
56,0.821429
57,0.824561
58,0.827586
59,0.830508
60,0.833333
61,0.836066
62,0.83871
63,0.84127
64,0.84375
65,0.846154
66,0.848485
67,0.850746
68,0.852941
69,0.855072
70,0.842857
71,0.84507
72,0.833333
73,0.835616
74,0.837838
75,0.84
76,0.842105
77,0.831169
78,0.833333
79,0.835443
80,0.8375
81,0.839506
82,0.829268
83,0.831325
84,0.833333
85,0.823529
86,0.813953
87,0.816092
88,0.818182
89,0.820225
90,0.811111
91,0.813187
92,0.815217
93,0.817204
94,0.819149
95,0.821053
96,0.822917
97,0.824742
98,0.826531
99,0.828283
100,0.83
