x ,value(getData("/V_mem" ?result "tran") 10n   ) (V)
500.0E-3,61.39E-9
501.0E-3,62.21E-9
502.0E-3,63.14E-9
503.0E-3,64.19E-9
504.0E-3,65.38E-9
505.0E-3,66.74E-9
506.0E-3,68.29E-9
507.0E-3,70.07E-9
508.0E-3,72.09E-9
509.0E-3,74.42E-9
510.0E-3,77.09E-9
511.0E-3,80.16E-9
512.0E-3,83.71E-9
513.0E-3,87.81E-9
514.0E-3,92.55E-9
515.0E-3,98.06E-9
516.0E-3,104.5E-9
517.0E-3,111.9E-9
518.0E-3,120.6E-9
519.0E-3,130.7E-9
520.0E-3,142.6E-9
521.0E-3,156.6E-9
522.0E-3,173.0E-9
523.0E-3,192.3E-9
524.0E-3,215.1E-9
525.0E-3,242.1E-9
526.0E-3,274.0E-9
527.0E-3,311.9E-9
528.0E-3,356.9E-9
529.0E-3,410.6E-9
530.0E-3,474.5E-9
531.0E-3,550.9E-9
532.0E-3,642.3E-9
533.0E-3,751.8E-9
534.0E-3,883.3E-9
535.0E-3,1.041E-6
536.0E-3,1.232E-6
537.0E-3,1.461E-6
538.0E-3,1.738E-6
539.0E-3,2.072E-6
540.0E-3,2.477E-6
541.0E-3,2.967E-6
542.0E-3,3.562E-6
543.0E-3,4.283E-6
544.0E-3,5.160E-6
545.0E-3,6.225E-6
546.0E-3,7.521E-6
547.0E-3,9.099E-6
548.0E-3,11.02E-6
549.0E-3,13.36E-6
550.0E-3,16.21E-6
551.0E-3,19.67E-6
552.0E-3,23.89E-6
553.0E-3,29.00E-6
554.0E-3,35.21E-6
555.0E-3,42.71E-6
556.0E-3,51.76E-6
557.0E-3,62.63E-6
558.0E-3,75.65E-6
559.0E-3,91.18E-6
560.0E-3,109.6E-6
561.0E-3,131.4E-6
562.0E-3,156.9E-6
563.0E-3,186.7E-6
564.0E-3,221.4E-6
565.0E-3,261.5E-6
566.0E-3,307.5E-6
567.0E-3,360.2E-6
568.0E-3,420.0E-6
569.0E-3,487.7E-6
570.0E-3,563.8E-6
571.0E-3,649.2E-6
572.0E-3,744.3E-6
573.0E-3,850.0E-6
