P-tun X,P-tun Y
0.036246758,1.64E-07
0.037070137,1.61E-07
0.037746592,1.60E-07
0.038574625,1.58E-07
0.039355646,1.57E-07
0.040139874,1.56E-07
0.041269701,1.55E-07
0.041322556,1.55E-07
0.041452813,1.55E-07
0.042157445,1.54E-07
0.042850351,1.54E-07
0.04404687,1.54E-07
0.044864449,1.54E-07
0.045742182,1.54E-07
0.046219884,1.54E-07
0.047112341,1.54E-07
0.047993938,1.54E-07
0.048973328,1.55E-07
0.050002286,1.55E-07
0.051084933,1.56E-07
0.052225826,1.56E-07
0.053430113,1.57E-07
0.054703576,1.58E-07
0.056053267,1.59E-07
0.05753434,1.60E-07
0.059058409,1.61E-07
0.060683354,1.62E-07
0.060911451,1.62E-07
0.062495454,1.63E-07
0.064180411,1.65E-07
0.065962527,1.66E-07
0.066962515,1.67E-07
0.068891183,1.68E-07
0.07094022,1.70E-07
0.073117633,1.71E-07
0.075810927,1.73E-07
0.078191055,1.75E-07
0.080833137,1.77E-07
0.083660792,1.79E-07
0.086700374,1.82E-07
0.089985685,1.84E-07
0.093543584,1.87E-07
0.097503454,1.90E-07
0.101864681,1.92E-07
0.10679275,1.96E-07
0.111828367,2.00E-07
0.118478577,2.04E-07
0.127040591,2.08E-07
0.124336382,2.14E-07
0.124854664,2.18E-07
0.125587497,2.24E-07
0.126260372,2.29E-07
0.126981999,2.34E-07
0.127871244,2.40E-07
0.129005245,2.45E-07
0.130000608,2.50E-07
0.131203256,2.55E-07
0.132379079,2.59E-07
0.133891085,2.62E-07
0.135253755,2.61E-07
0.137009132,2.63E-07
0.13861511,2.64E-07
0.139583773,2.66E-07
0.141684071,2.69E-07
0.144801656,2.73E-07
0.146448003,2.77E-07
0.14823109,2.80E-07
0.151913466,2.87E-07
0.154792096,2.93E-07
0.158643787,3.02E-07
0.164107542,3.19E-07
0.18555605,3.89E-07
0.188738678,4.04E-07
0.194177955,4.31E-07
0.202805915,4.80E-07
0.215252726,5.64E-07
0.231617787,7.06E-07
0.250907791,9.13E-07
0.272691338,1.22E-06
0.292845466,1.56E-06
0.31246863,1.95E-06
0.329996712,2.36E-06
0.345832298,2.76E-06
0.360752203,3.16E-06
0.37558646,3.59E-06
0.390794929,4.12E-06
0.40701236,4.68E-06
0.423328046,5.30E-06
0.440204083,5.95E-06
0.457627841,6.68E-06
0.475583775,7.51E-06
0.494054369,8.37E-06
0.512348977,9.28E-06
0.531389079,1.03E-05
0.550817158,1.13E-05
0.570614898,1.24E-05
0.590706652,1.36E-05
0.614664548,1.49E-05
0.631790423,1.60E-05
0.652619002,1.73E-05
0.673627228,1.86E-05
0.694773578,2.00E-05
0.716023018,2.14E-05
0.738134604,2.29E-05
0.759598883,2.43E-05
0.781225483,2.58E-05
0.802772356,2.72E-05
0.82424952,2.87E-05
0.845622945,3.01E-05
0.866860458,3.16E-05
0.887933485,3.30E-05
0.909182927,3.44E-05
