Vmem,tun,Energy
0,4.504134E-01,1.151877E-13
0,4.503967E-01,1.151747E-13
0,4.503792E-01,1.151618E-13
0,4.503610E-01,1.151477E-13
0,4.503419E-01,1.151329E-13
0,4.503220E-01,1.151175E-13
0,4.487025E-01,1.136810E-13
0,4.486775E-01,1.136618E-13
0,4.486516E-01,1.136439E-13
0,4.486248E-01,1.136233E-13
0,4.485971E-01,1.136020E-13
0,4.485683E-01,1.135799E-13
0,4.485385E-01,1.135571E-13
0,4.485077E-01,1.135334E-13
0,4.484758E-01,1.135090E-13
0,4.484429E-01,1.134834E-13
0,4.484087E-01,1.134572E-13
0,4.483735E-01,1.134301E-13
0,4.483370E-01,1.134021E-13
0,4.482993E-01,1.133732E-13
0,4.482603E-01,1.133434E-13
0,4.482201E-01,1.133128E-13
0,4.481785E-01,1.132810E-13
0,4.481356E-01,1.132481E-13
0,4.480913E-01,1.132141E-13
0,4.480455E-01,1.131751E-13
0,4.479983E-01,1.131389E-13
0,4.479496E-01,1.131016E-13
0,4.478994E-01,1.130631E-13
0,4.478476E-01,1.130233E-13
0,4.477942E-01,1.129824E-13
0,4.477391E-01,1.129396E-13
0,4.476824E-01,1.128961E-13
0,4.476239E-01,1.128513E-13
0,4.475637E-01,1.128051E-13
0,4.475016E-01,1.127576E-13
0,4.474378E-01,1.127087E-13
0,4.473720E-01,1.126583E-13
0,4.473043E-01,1.126064E-13
0,4.472346E-01,1.125531E-13
0,4.471629E-01,1.124982E-13
0,4.470892E-01,1.124418E-13
0,4.470134E-01,1.123838E-13
0,4.469354E-01,1.123273E-13
0,4.468543E-01,1.122652E-13
0,4.467832E-01,1.122108E-13
0,4.466985E-01,1.121462E-13
0,4.466115E-01,1.120796E-13
0,4.465221E-01,1.120113E-13
0,4.464303E-01,1.119413E-13
0,4.462988E-01,1.118410E-13
0,4.462019E-01,1.117671E-13
0,4.461024E-01,1.116912E-13
0,4.460002E-01,1.116134E-13
0,4.458955E-01,1.115336E-13
0,4.457880E-01,1.114517E-13
0,4.456778E-01,1.113660E-13
0,4.455648E-01,1.112798E-13
0,4.454489E-01,1.111915E-13
0,4.453301E-01,1.111010E-13
0,4.452084E-01,1.110083E-13
0,4.450837E-01,1.109133E-13
0,4.449560E-01,1.108160E-13
0,4.448251E-01,1.107164E-13
0,4.446915E-01,1.106152E-13
0,4.445543E-01,1.105115E-13
0,4.444139E-01,1.104047E-13
0,4.442702E-01,1.102915E-13
0,4.441232E-01,1.101800E-13
0,4.439728E-01,1.100660E-13
0,4.438190E-01,1.099542E-13
0,4.436617E-01,1.098351E-13
0,4.435008E-01,1.097135E-13
0,4.433364E-01,1.095917E-13
0,4.431684E-01,1.094650E-13
0,4.429967E-01,1.093354E-13
0,4.428213E-01,1.092026E-13
0,4.426422E-01,1.090654E-13
0,4.424593E-01,1.089288E-13
0,4.422725E-01,1.087879E-13
0,4.420819E-01,1.086447E-13
0,4.418874E-01,1.084975E-13
0,4.416889E-01,1.083433E-13
0,4.414864E-01,1.081637E-13
0,4.412798E-01,1.080159E-13
0,4.410693E-01,1.078600E-13
0,4.408546E-01,1.077194E-13
0,4.406357E-01,1.075415E-13
0,4.408199E-01,1.076933E-13
0,4.405931E-01,1.075096E-13
